accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
patron,68795012,122846070,16014cfc-1090-3fc7-aaab-d8332e8d3fb0,68795012,Sapphire,1,1
opera,238835069,57507524,1e549cc8-3adb-37bf-b187-55d1360f5044,46670711,Sapphire,1,3
opera,895470322,8369076,1b3c49a0-050f-3ef6-8e99-a4d6ff8fdfa1,51453952,Sapphire,1,6
patron,43577367,106742596,0bf67e53-1425-3c95-aec6-967f0a055629,43577367,null,1,1
patron,61396717,125354794,1b4064ac-a3c1-3f54-bfea-acfe377e0adc,61396717,Sapphire,1,2
patron,5747457,127197157,1ef93429-9675-3c85-9896-e4d8344ebbf7,5747457,null,1,1
customers,00ucqu8ntMt9U9tUq1t5,56217404,1f00d8f7-fc4f-33dc-9773-59ec03076fb1,62253465,Sapphire,1,4
betmgm,579280749,148452360,1b4760f7-9510-3afd-b2f3-40101d3948d0,97190483,Sapphire,1,2
patron,79374693,112435253,1b4af105-fbbf-3216-804e-c421ddb9fdf0,79374693,Sapphire,1,3
patron,70208215,103001346,1f13d39b-206f-397b-a071-e560ea366b1f,70208215,Sapphire,1,1
patron,74716575,77428907,1f1794f5-031c-3018-8fe0-0ea169a5daee,74716575,Sapphire,1,1
patron,84114465,3208569,1f186982-48b9-3918-81a5-b1fdce851c74,84114465,Sapphire,1,3
patron,43777924,29701578,1fe911e8-ce89-3d3b-9724-11d0806b51d0,43777924,null,1,1
patron,10187531,94163282,1f18ab3b-adae-397a-9e77-c18e82fb17dd,10187531,null,1,2
betmgm,608168019,167674856,1ff74a65-c7f6-3a39-b7ae-a39a32fdaf7a,100539412,Sapphire,1,3
opera,812931421,96135931,1e611f99-e549-3218-918c-f862cdb00c3e,78943860,Sapphire,1,3
patron,3581562,53912114,17a1073c-1ab4-3072-b587-e7039ce66e6e,3581562,null,1,1
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgOTWnuP7Cgw,43073743,1c993616-f25c-3ec2-9252-fe3a4dbfdb87,61972788,Sapphire,1,22
patron,51825738,111414565,1b5aa1c9-a12e-3c3d-aca9-a3ea09254cbf,51825738,Sapphire,1,1
patron,97304954,131282960,1128986e-b289-39fb-9002-f6e03d532f01,97304954,Sapphire,1,4
opera,901209193,155770750,1b5e67a8-ad73-3282-ba1a-5998b816e7de,96386784,Sapphire,1,2
patron,80292576,131461624,1ce112bd-6b01-320c-b138-a1e038b62cc5,80292576,Sapphire,1,3
patron,89326798,18943884,17acea1e-92bf-3bdc-8a41-4fedcd2ad856,89326798,Sapphire,1,2
opera,663862218,123400570,17afef32-3a1e-3fc0-8b89-7986f7c7e58d,20849109,null,1,2
patron,31001615,26582530,17b067a0-2c95-35f1-a6be-bbb0803286e8,41050384,Sapphire,1,2
patron,59146316,4360911,11311288-706f-3806-b9bd-799a5e8a3482,59146316,Sapphire,1,2
patron,55626757,29963522,11380a9b-f3dc-3e90-a974-3ca15777d722,55626757,Sapphire,1,1
opera,360161002,85311586,1ff86b51-2e39-3f8b-9ab0-9a2a0f0d4366,59769964,Sapphire,1,3
patron,83186311,14676079,17bd7dea-43b0-3eee-a5b8-10901ba60c8b,83186311,Sapphire,1,1
